Nombre|Apellido|FechaNacimiento|Edad
Adriana|Ortega|1981-10-09|44
José|Rivera|2003-07-06|22
Manuel|Martínez|1975-11-05|50
Ricardo|Navarro|2007-05-29|18
Ana|Delgado|1946-05-31|79
Elena|Hernández|1986-03-08|40
Javier|Ortega|1995-08-03|30
María|Gómez|1962-01-01|64
Sergio|Vega|2007-07-13|18
Gabriela|Pérez|1959-02-04|67
Mario|Rivera|1992-07-10|33
Gabriela|Molina|1995-05-22|30
José|Mendoza|1969-03-16|57
Verónica|Ortiz|1990-04-03|36
Carlos|Romero|1952-10-11|73
Cristina|Díaz|1972-07-15|53
Adriana|Pérez|2003-09-19|22
Alejandro|Medina|1983-08-10|42
Rafael|Silva|2007-12-15|18
María|Rodríguez|1975-05-30|50
Sandra|Navarro|1993-05-20|32
Lucía|Hernández|1979-03-21|47
Sofía|Rivera|1947-03-20|79
Rafael|Gómez|1994-08-15|31
Verónica|López|1959-05-28|66
Roberto|Rivera|1980-06-02|45
Mónica|Vargas|1957-07-09|68
Miguel|Mendoza|1988-09-18|37
Alejandro|Díaz|1967-07-11|58
Isabel|Ramírez|2003-09-18|22
Valentina|Delgado|1948-12-02|77
Rosa|Ramos|1956-03-31|70
Alejandro|González|1949-07-07|76
Isabel|Guerrero|1972-03-29|54
Rosa|Torres|1974-05-07|52
Natalia|Castro|2002-06-25|23
Roberto|López|1950-10-02|75
Andrés|Navarro|1954-10-31|71
Pablo|Aguilar|1983-12-03|42
Rafael|Álvarez|1997-02-01|29
Gabriela|Suárez|1969-05-11|57
Isabel|Suárez|1948-08-23|77
Pablo|Fuentes|2002-05-12|24
Diana|Fuentes|1972-08-22|53
Sandra|Ruiz|1955-11-27|70
Alejandro|Jiménez|1956-10-04|69
Ricardo|Ruiz|2001-05-19|25
Adriana|Flores|1998-04-10|28
Ricardo|Vega|1951-03-20|75
Pablo|Suárez|1973-08-24|52
Verónica|Díaz|1994-05-12|32
Fernando|Sánchez|2000-07-19|25
Sandra|Ruiz|1960-02-09|66
Ricardo|Ruiz|1956-05-02|70
Alejandro|Ramírez|1997-11-08|28
Andrés|Fuentes|1971-07-31|54
Manuel|Cruz|1969-04-06|57
Verónica|Gómez|1974-08-15|51
José|Rodríguez|1953-04-08|73
Luis|Delgado|1973-02-15|53
Andrés|Navarro|1962-11-05|63
Héctor|Ramírez|1977-03-15|49
Sergio|Jiménez|1972-04-12|54
Mónica|Morales|1975-09-29|50
Pedro|Delgado|1961-08-11|64
Elena|Álvarez|2002-04-07|24
Ricardo|Vega|1994-04-23|32
Mario|Ortega|2002-03-24|24
Mario|Ramírez|1967-05-05|59
Rosa|Medina|1957-01-30|69
Fernando|Rojas|1982-03-15|44
José|Rojas|1949-12-18|76
Alejandro|Reyes|1990-05-01|36
Sergio|Romero|1996-07-26|29
Rafael|Gómez|1970-12-09|55
Verónica|Ramos|1995-11-19|30
Verónica|Rivera|1953-08-16|72
Pablo|Jiménez|2005-08-07|20
Adriana|Rodríguez|1947-08-21|78
Fernando|Vargas|1956-06-29|69
María|Guerrero|1957-06-19|68
Diego|Jiménez|1990-02-05|36
Ana|Ramírez|1999-12-08|26
Juan|Molina|1960-02-16|66
Roberto|Hernández|1954-11-21|71
Alejandro|Rodríguez|1966-02-15|60
